[PollStageAppStatusExecution] 4d8f45b0-79dd-4bee-823d-05b0e2a2c48d [2025-10-01T21:20:33.943035] Request Path: /health (STDOUT, APP/PROC/WEB)#
#2025 10 01 21:31:18.114#Z#DEBUG#b0c1141b-9f0d-11f0-9faf-eeee0a916215.mck-portal-srv#flowable-async-job-executor-thread-12024#
[PollStageAppStatusExecution] 4d8f45b0-79dd-4bee-823d-05b0e2a2c48d [2025-10-01T21:20:35.945138] No Authorization Header Found (STDOUT, APP/PROC/WEB)#
#2025 10 01 21:31:18.114#Z#DEBUG#b0c1141b-9f0d-11f0-9faf-eeee0a916215.mck-portal-srv#flowable-async-job-executor-thread-12024#
[PollStageAppStatusExecution] 4d8f45b0-79dd-4bee-823d-05b0e2a2c48d [2025-10-01T21:20:35.945158] Request URL: /health (STDOUT, APP/PROC/WEB)#
#2025 10 01 21:31:18.114#Z#DEBUG#b0c1141b-9f0d-11f0-9faf-eeee0a916215.mck-portal-srv#flowable-async-job-executor-thread-12024#
[PollStageAppStatusExecution] 4d8f45b0-79dd-4bee-823d-05b0e2a2c48d [2025-10-01T21:20:35.945162] Request Path: /health (STDOUT, APP/PROC/WEB)#
#2025 10 01 21:31:18.114#Z#DEBUG#b0c1141b-9f0d-11f0-9faf-eeee0a916215.mck-portal-srv#flowable-async-job-executor-thread-12024#
[PollStageAppStatusExecution] 4d8f45b0-79dd-4bee-823d-05b0e2a2c48d [2025-10-01T21:20:37.947169] No Authorization Header Found (STDOUT, APP/PROC/WEB)#
#2025 10 01 21:31:18.114#Z#DEBUG#b0c1141b-9f0d-11f0-9faf-eeee0a916215.mck-portal-srv#flowable-async-job-executor-thread-12024#
[PollStageAppStatusExecution] 4d8f45b0-79dd-4bee-823d-05b0e2a2c48d [2025-10-01T21:20:37.947191] Request URL: /health (STDOUT, APP/PROC/WEB)#
#2025 10 01 21:31:18.114#Z#DEBUG#b0c1141b-9f0d-11f0-9faf-eeee0a916215.mck-portal-srv#flowable-async-job-executor-thread-12024#
[PollStageAppStatusExecution] 4d8f45b0-79dd-4bee-823d-05b0e2a2c48d [2025-10-01T21:20:37.947194] Request Path: /health (STDOUT, APP/PROC/WEB)#
#2025 10 01 21:31:18.114#Z#DEBUG#b0c1141b-9f0d-11f0-9faf-eeee0a916215.mck-portal-srv#flowable-async-job-executor-thread-12024#
[PollStageAppStatusExecution] 4d8f45b0-79dd-4bee-823d-05b0e2a2c48d [2025-10-01T21:20:39.949140] No Authorization Header Found (STDOUT, APP/PROC/WEB)#
#2025 10 01 21:31:18.114#Z#DEBUG#b0c1141b-9f0d-11f0-9faf-eeee0a916215.mck-portal-srv#flowable-async-job-executor-thread-12024#
[PollStageAppStatusExecution] 4d8f45b0-79dd-4bee-823d-05b0e2a2c48d [2025-10-01T21:20:39.949157] Request URL: /health (STDOUT, APP/PROC/WEB)#
#2025 10 01 21:31:18.114#Z#DEBUG#b0c1141b-9f0d-11f0-9faf-eeee0a916215.mck-portal-srv#flowable-async-job-executor-thread-12024#
[PollStageAppStatusExecution] 4d8f45b0-79dd-4bee-823d-05b0e2a2c48d [2025-10-01T21:20:39.949160] Request Path: /health (STDOUT, APP/PROC/WEB)#
#2025 10 01 21:31:18.114#Z#DEBUG#b0c1141b-9f0d-11f0-9faf-eeee0a916215.mck-portal-srv#flowable-async-job-executor-thread-12024#
[PollStageAppStatusExecution] 4d8f45b0-79dd-4bee-823d-05b0e2a2c48d [2025-10-01T21:20:41.950409] No Authorization Header Found (STDOUT, APP/PROC/WEB)#
#2025 10 01 21:31:18.114#Z#DEBUG#b0c1141b-9f0d-11f0-9faf-eeee0a916215.mck-portal-srv#flowable-async-job-executor-thread-12024#
[PollStageAppStatusExecution] 4d8f45b0-79dd-4bee-823d-05b0e2a2c48d [2025-10-01T21:20:41.950431] Request URL: /health (STDOUT, APP/PROC/WEB)#
#2025 10 01 21:31:18.114#Z#DEBUG#b0c1141b-9f0d-11f0-9faf-eeee0a916215.mck-portal-srv#flowable-async-job-executor-thread-12024#
[PollStageAppStatusExecution] 4d8f45b0-79dd-4bee-823d-05b0e2a2c48d [2025-10-01T21:20:41.950435] Request Path: /health (STDOUT, APP/PROC/WEB)#
#2025 10 01 21:31:18.114#Z#DEBUG#b0c1141b-9f0d-11f0-9faf-eeee0a916215.mck-portal-srv#flowable-async-job-executor-thread-12024#
[PollStageAppStatusExecution] 4d8f45b0-79dd-4bee-823d-05b0e2a2c48d [2025-10-01T21:20:43.953247] No Authorization Header Found (STDOUT, APP/PROC/WEB)#
#2025 10 01 21:31:18.114#Z#DEBUG#b0c1141b-9f0d-11f0-9faf-eeee0a916215.mck-portal-srv#flowable-async-job-executor-thread-12024#
[PollStageAppStatusExecution] 4d8f45b0-79dd-4bee-823d-05b0e2a2c48d [2025-10-01T21:20:43.953296] Request URL: /health (STDOUT, APP/PROC/WEB)#
#2025 10 01 21:31:18.114#Z#DEBUG#b0c1141b-9f0d-11f0-9faf-eeee0a916215.mck-portal-srv#flowable-async-job-executor-thread-12024#
[PollStageAppStatusExecution] 4d8f45b0-79dd-4bee-823d-05b0e2a2c48d [2025-10-01T21:20:43.953300] Request Path: /health (STDOUT, APP/PROC/WEB)#
#2025 10 01 21:31:18.114#Z#DEBUG#b0c1141b-9f0d-11f0-9faf-eeee0a916215.mck-portal-srv#flowable-async-job-executor-thread-12024#
[PollStageAppStatusExecution] 4d8f45b0-79dd-4bee-823d-05b0e2a2c48d [2025-10-01T21:20:45.955243] No Authorization Header Found (STDOUT, APP/PROC/WEB)#
#2025 10 01 21:31:18.114#Z#DEBUG#b0c1141b-9f0d-11f0-9faf-eeee0a916215.mck-portal-srv#flowable-async-job-executor-thread-12024#
[PollStageAppStatusExecution] 4d8f45b0-79dd-4bee-823d-05b0e2a2c48d [2025-10-01T21:20:45.955279] Request URL: /health (STDOUT, APP/PROC/WEB)#
#2025 10 01 21:31:18.114#Z#DEBUG#b0c1141b-9f0d-11f0-9faf-eeee0a916215.mck-portal-srv#flowable-async-job-executor-thread-12024#
[PollStageAppStatusExecution] 4d8f45b0-79dd-4bee-823d-05b0e2a2c48d [2025-10-01T21:20:45.955283] Request Path: /health (STDOUT, APP/PROC/WEB)#
#2025 10 01 21:31:18.114#Z#DEBUG#b0c1141b-9f0d-11f0-9faf-eeee0a916215.mck-portal-srv#flowable-async-job-executor-thread-12024#
[PollStageAppStatusExecution] 4d8f45b0-79dd-4bee-823d-05b0e2a2c48d [2025-10-01T21:20:47.957444] No Authorization Header Found (STDOUT, APP/PROC/WEB)#
#2025 10 01 21:31:18.114#Z#DEBUG#b0c1141b-9f0d-11f0-9faf-eeee0a916215.mck-portal-srv#flowable-async-job-executor-thread-12024#
[PollStageAppStatusExecution] 4d8f45b0-79dd-4bee-823d-05b0e2a2c48d [2025-10-01T21:20:47.957464] Request URL: /health (STDOUT, APP/PROC/WEB)#
#2025 10 01 21:31:18.114#Z#DEBUG#b0c1141b-9f0d-11f0-9faf-eeee0a916215.mck-portal-srv#flowable-async-job-executor-thread-12024#
[PollStageAppStatusExecution] 4d8f45b0-79dd-4bee-823d-05b0e2a2c48d [2025-10-01T21:20:47.957469] Request Path: /health (STDOUT, APP/PROC/WEB)#
#2025 10 01 21:31:18.114#Z#DEBUG#b0c1141b-9f0d-11f0-9faf-eeee0a916215.mck-portal-srv#flowable-async-job-executor-thread-12024#
[PollStageAppStatusExecution] 4d8f45b0-79dd-4bee-823d-05b0e2a2c48d [2025-10-01T21:20:49.958912] No Authorization Header Found (STDOUT, APP/PROC/WEB)#
#2025 10 01 21:31:18.114#Z#DEBUG#b0c1141b-9f0d-11f0-9faf-eeee0a916215.mck-portal-srv#flowable-async-job-executor-thread-12024#
